Symbol,X,Y,Z,AtomicNumber
C,4.16626,-0.66971,0.3522,6
C,4.15923,0.68716,0.38502,6
C,2.79835,1.10248,0.16468,6
C,2.80892,-1.08643,0.12104,6
C,2.41514,2.43496,0.04381,6
C,3.47341,3.49593,0.07498,6
C,2.43873,-2.42319,-0.03831,6
C,3.52229,-3.45761,-0.04774,6
C,3.5193,-4.54626,0.8396,6
C,3.49111,4.47454,1.08204,6
C,4.46772,3.54201,-0.9177,6
C,1.1043,-2.81015,-0.1671,6
C,4.5749,-3.3544,-0.97403,6
C,4.47466,5.464,1.09914,6
C,5.4521,4.53047,-0.8986,6
C,5.45821,5.49348,0.11055,6
C,5.59603,-4.30367,-1.00608,6
C,0.68856,-4.16088,-0.42191,6
C,4.53812,-5.49869,0.80256,6
C,5.57934,-5.37987,-0.11839,6
C,-0.66872,-4.16258,-0.41375,6
C,-1.08623,-2.81223,-0.15013,6
C,1.0808,2.81218,-0.10509,6
C,-1.11177,2.80414,-0.16454,6
C,0.6657,4.16535,-0.35881,6
C,-2.45283,2.41804,-0.02331,6
C,-3.52823,3.46551,-0.06619,6
C,-0.69045,4.15786,-0.40351,6
C,-4.4709,3.47413,-1.1104,6
C,-2.81893,1.08231,0.17133,6
C,-2.80464,-1.11024,0.20812,6
C,-3.62348,4.45519,0.92451,6
C,-4.14845,-0.69641,0.50264,6
C,-4.15812,0.65981,0.47599,6
C,-4.62707,5.42469,0.87387,6
C,-2.42188,-2.44111,0.03723,6
C,-3.51433,-4.46713,1.08019,6
C,-3.47593,-3.50918,0.05429,6
C,-5.47168,4.44395,-1.16155,6
C,-5.55153,5.42263,-0.16952,6
C,-4.44948,-3.57364,-0.95752,6
C,-4.49606,-5.45917,1.09542,6
C,-5.42792,-4.56809,-0.94439,6
C,-5.45368,-5.51313,0.08241,6
H,4.98728,1.35533,0.56561,1
H,4.99996,-1.34049,0.50095,1
H,2.73387,4.44947,1.85904,1
H,4.45277,2.80403,-1.7134,1
H,4.47267,6.2126,1.8872,1
H,4.58248,-2.51937,-1.67006,1
H,6.22462,6.26423,0.1251,1
H,6.21293,4.55017,-1.67461,1
H,2.717,-4.63876,1.56528,1
H,6.40305,-4.2035,-1.72737,1
H,1.35692,-4.98748,-0.60359,1
H,-1.33795,-4.99072,-0.59339,1
H,6.37325,-6.12193,-0.14429,1
H,4.51838,-6.33372,1.49827,1
H,-1.35666,4.98425,-0.59765,1
H,1.33562,4.99655,-0.51336,1
H,-4.98059,1.32839,0.67734,1
H,-4.96456,-1.36937,0.71824,1
H,-2.91935,4.44864,1.7499,1
H,-4.40495,2.71813,-1.88613,1
H,-4.68614,6.18177,1.65147,1
H,-6.33273,6.17752,-0.20789,1
H,-6.19126,4.43585,-1.97613,1
H,-2.77777,-4.41988,1.87588,1
H,-4.42539,-2.844,-1.76125,1
H,-4.51159,-6.1911,1.89864,1
H,-6.17081,-4.60543,-1.73693,1
H,-6.21727,-6.28662,0.09396,1
N,1.9669,0.00509,0.03332,7
N,0.01113,-1.97433,-0.04033,7
N,-1.97739,-0.00919,0.05356,7
N,-0.01365,1.97131,-0.02348,7
Co,-0.00474,-0.00174,0.00739,27
